1565239480: START normal
1565277027: END normal
1565277027: START loss 0.1
1565343179: END loss 0.1
1565343179: START loss 0.5
1565526103: END loss 0.5
1565526103: START loss 1
1565798820: END loss 1
1565798820: START duplicate 1
1565836576: END duplicate 1
1565900409: START duplicate 5
1565938035: END duplicate 5
1565938035: START reorder 25
1565983956: END reorder 25
1565983956: START reorder 50
1566028420: END reorder 50
