1565239491: START normal
1565277025: END normal
1565277025: START loss 0.1
1565336037: END loss 0.1
1565336037: START loss 0.5
1565479733: END loss 0.5
1565479733: START loss 1
1565706961: END loss 1
1565706961: START duplicate 1
1565746032: END duplicate 1
1565746032: START duplicate 5
1565784831: END duplicate 5
1565784831: START reorder 25
1565827768: END reorder 25
1565900743: START reorder 50
1565939625: END reorder 50
