1565239495: START normal
1565276986: END normal
1565276986: START loss 0.1
1565314762: END loss 0.1
1565314762: START loss 0.5
1565353680: END loss 0.5
1565353680: START loss 1
1565393293: END loss 1
1565393293: START duplicate 1
1565431226: END duplicate 1
1565431226: START duplicate 5
1565469268: END duplicate 5
1565469268: START reorder 25
1565508864: END reorder 25
1565508864: START reorder 50
1565548167: END reorder 50
